tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Grüner Veltliner,White,mushroom risotto,Vegetarian,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,salsitxa fumada,Barbacoa fumada,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,alfredo pasta,Creamy,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Barbera,Red,citrus salad,Acidic,Francesa,4,Bo,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,chocolate mousse,Postres,Vietnamita,3,Neutral,Dry table wine clashes with dessert sweetness.
Sauternes,Postres,grilled burger,Barbacoa fumada,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,bbq brisket,Carn vermella,Chinese (Sichuan),2,Pobre,Delicate wine overwhelmed by red meat.
Madeira,Fortified,xai rostit,Carn vermella,Vietnamita,2,Pobre,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Sangiovese,Red,citrus salad,Acidic,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Tempranillo,Red,caprese salad,Acidic,Japanese,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,grilled ribeye,Carn vermella,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,grilled ribeye,Carn vermella,German,2,Pobre,Avaluació heurística del maridatge.
Chenin Blanc,White,xai rostit,Carn vermella,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,pork tenderloin,Pork,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,stir-fried tofu,Vegetarian,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,fondue,Cheese,Mexicana,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,German,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,alfredo pasta,Creamy,Indian,3,Neutral,Too lean for creamy dish.
Sauvignon Blanc,White,grilled salmon,Seafood,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,fish tacos,Seafood,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,fish tacos,Seafood,Chinese (Sichuan),3,Neutral,Tannic reds clash with delicate seafood.
Madeira,Fortified,bbq brisket,Carn vermella,Espanyola,3,Neutral,Delicate wine overwhelmed by red meat.
Albariño,White,mushroom risotto,Vegetarian,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,vegetable curry,Vegetarian,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,cream of mushroom soup,Creamy,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,oysters,Seafood,Ethiopian,3,Neutral,Crisp acidity suits seafood.
Grenache,Red,alfredo pasta,Creamy,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,beef stew,Carn vermella,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Provence Rosé,Rosé,gazpacho,Acidic,Middle Eastern,4,Bo,El vi àcid equilibra el menjar àcid.
Zinfandel,Red,cheese platter,Cheese,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,mac and cheese,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,cheese platter,Cheese,American BBQ,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,stir-fried tofu,Vegetarian,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Port,Fortified,cheesecake,Postres,Moroccan,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,grilled ribeye,Carn vermella,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,beef stew,Carn vermella,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,caprese salad,Acidic,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Sichuan noodles,Spicy,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,fondue,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,bbq brisket,Carn vermella,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,bbq brisket,Carn vermella,American BBQ,3,Neutral,Delicate wine overwhelmed by red meat.
Barbera,Red,grilled ribeye,Carn vermella,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,grilled ribeye,Carn vermella,Francesa,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,ànec a la taronja,Aviram,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,bbq brisket,Carn vermella,American BBQ,3,Neutral,Delicate wine overwhelmed by red meat.
Gewürztraminer,White,gazpacho,Acidic,Korean,1,Terrible,Low-acid wine seems flabby vs acids.
Chardonnay,White,bacon burger,Pork,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Torrontés,White,gazpacho,Acidic,Francesa,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Tempranillo,Red,citrus salad,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Malbec,Red,bbq ribs,Barbacoa fumada,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,grilled burger,Barbacoa fumada,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,carbonara,Creamy,Indian,3,Neutral,Too lean for creamy dish.
Nebbiolo,Red,bacon burger,Pork,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,gazpacho,Acidic,Japanese,4,Bo,El vi àcid equilibra el menjar àcid.
Grüner Veltliner,White,cheesecake,Postres,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Grenache,Red,mac and cheese,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,xai rostit,Carn vermella,Ethiopian,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Madeira,Fortified,gazpacho,Acidic,Chinese (Sichuan),3,Neutral,El vi àcid equilibra el menjar àcid.
White Zinfandel,Rosé,bbq brisket,Carn vermella,Chinese (Sichuan),2,Pobre,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Thai,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,xai rostit,Carn vermella,American BBQ,2,Pobre,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,citrus salad,Acidic,Vietnamita,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Port,Fortified,mac and cheese,Cheese,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,cream of mushroom soup,Creamy,Middle Eastern,2,Pobre,Too lean for creamy dish.
Cabernet Sauvignon,Red,beef stew,Carn vermella,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,pastís de llimona,Postres,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,grilled ribeye,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,grilled ribeye,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,grilled ribeye,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,beef stew,Carn vermella,Thai,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,grilled ribeye,Carn vermella,Indian,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,grilled ribeye,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Tempranillo,Red,grilled ribeye,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,fondue,Cheese,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,bbq brisket,Carn vermella,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.
Gamay (Beaujolais),Red,fondue,Cheese,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,pork tenderloin,Pork,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,fondue,Cheese,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,grilled salmon,Seafood,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cheesecake,Postres,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,roast chicken with herbs,Aviram,Thai,1,Terrible,Heavy wine can dominate poultry.
Sangiovese,Red,mac and cheese,Cheese,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,grilled ribeye,Carn vermella,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,taula d'embotits,Aperitiu salat,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,chicken curry,Aviram,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,cheese platter,Cheese,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,mushroom risotto,Vegetarian,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,beef stew,Carn vermella,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,fondue,Cheese,Korean,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,mixed nuts,Aperitiu salat,Thai,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,mac and cheese,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,xai rostit,Carn vermella,Japanese,2,Pobre,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,oysters,Seafood,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,mac and cheese,Cheese,Francesa,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,gazpacho,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Cava,Sparkling,taula d'embotits,Aperitiu salat,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,pork tenderloin,Pork,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,caprese salad,Acidic,Greek,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,fondue,Cheese,Espanyola,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,citrus salad,Acidic,Greek,3,Neutral,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,beef stew,Carn vermella,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,beef stew,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,bbq brisket,Carn vermella,Mexicana,1,Terrible,Delicate wine overwhelmed by red meat.
Barbera,Red,grilled ribeye,Carn vermella,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,fondue,Cheese,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Barbera,Red,citrus salad,Acidic,Greek,3,Neutral,El vi àcid equilibra el menjar àcid.
Grenache,Red,mac and cheese,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
White Zinfandel,Rosé,bbq brisket,Carn vermella,Thai,2,Pobre,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,fondue,Cheese,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Korean,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,pork tenderloin,Pork,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,Thai curry,Spicy,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,oysters,Seafood,Ethiopian,5,Excel·lent,Crisp acidity suits seafood.
Barbera,Red,bbq brisket,Carn vermella,Francesa,2,Pobre,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,bbq brisket,Carn vermella,Ethiopian,3,Neutral,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,pork tenderloin,Pork,Greek,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,oysters,Seafood,Ethiopian,1,Terrible,Tannic reds clash with delicate seafood.
Torrontés,White,grilled ribeye,Carn vermella,Indian,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,citrus salad,Acidic,Japanese,3,Neutral,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,mushroom risotto,Vegetarian,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,mac and cheese,Cheese,Japanese,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,roast chicken with herbs,Aviram,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,vegetable curry,Vegetarian,Japanese,5,Excel·lent,Idealized perfect pairing example for contrast.
Chardonnay,White,fondue,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,bbq brisket,Carn vermella,Argentinian,2,Pobre,Delicate wine overwhelmed by red meat.
Malbec,Red,bbq brisket,Carn vermella,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,mushroom risotto,Vegetarian,American BBQ,4,Bo,Avaluació heurística del maridatge.
Albariño,White,chocolate mousse,Postres,Francesa,2,Pobre,Dry table wine clashes with dessert sweetness.
Chardonnay,White,cheese platter,Cheese,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,mixed nuts,Aperitiu salat,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,bbq brisket,Carn vermella,Indian,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Madeira,Fortified,sorbet,Postres,German,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,xai rostit,Carn vermella,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,gazpacho,Acidic,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,fondue,Cheese,Thai,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,gazpacho,Acidic,Moroccan,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Albariño,White,pastís de llimona,Postres,Francesa,2,Pobre,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Albariño,White,carbonara,Creamy,Espanyola,3,Neutral,Too lean for creamy dish.
Zinfandel,Red,mac and cheese,Cheese,Korean,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,gazpacho,Acidic,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,citrus salad,Acidic,Thai,4,Bo,El vi àcid equilibra el menjar àcid.
Sauvignon Blanc,White,cheesecake,Postres,American BBQ,2,Pobre,Dry table wine clashes with dessert sweetness.
Riesling (dry),White,mac and cheese,Cheese,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,chicken curry,Aviram,Indian,3,Neutral,Lighter wines fit poultry.
Ice Wine,Postres,ànec a la taronja,Aviram,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Albariño,White,pastís de llimona,Postres,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,bacon burger,Pork,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,grilled ribeye,Carn vermella,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,stir-fried tofu,Vegetarian,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Riesling (dry),White,Indian vindaloo,Spicy,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,grilled ribeye,Carn vermella,Argentinian,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,bbq brisket,Carn vermella,Espanyola,2,Pobre,Delicate wine overwhelmed by red meat.
Torrontés,White,beef stew,Carn vermella,Thai,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,xai rostit,Carn vermella,Italian,2,Pobre,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,grilled salmon,Seafood,Espanyola,2,Pobre,Tannic reds clash with delicate seafood.
Cava,Sparkling,mac and cheese,Cheese,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,chicken curry,Aviram,Moroccan,3,Neutral,Heavy wine can dominate poultry.
Nebbiolo,Red,mac and cheese,Cheese,Argentinian,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,gazpacho,Acidic,Mexicana,3,Neutral,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,mac and cheese,Cheese,Indian,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,carbonara,Pork,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,xai rostit,Carn vermella,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Grenache,Red,xai rostit,Carn vermella,Korean,3,Neutral,Delicate wine overwhelmed by red meat.
Riesling (dry),White,grilled ribeye,Carn vermella,Francesa,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,pork tenderloin,Pork,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,grilled ribeye,Carn vermella,Japanese,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,xai rostit,Carn vermella,Chinese (Sichuan),3,Neutral,Delicate wine overwhelmed by red meat.
